ja	zh-TW	category	status	notes
コイン	金幣	currency	provisional	遊戲通用貨幣；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ねだん	價格	shop	provisional	商店購入價格；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
うりね	售價	shop	provisional	商店出售價格；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
かいとる	收購	shop	provisional	由商店視角表述購入玩家物品；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
すばやさ	敏捷	status	provisional	角色能力值；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
うんのよさ	幸運	status	provisional	角色能力值；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
かいふく	恢復	battle	provisional	HP、EP 與狀態恢復的通用動詞；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
まぼろし	幻覺	status	provisional	降低命中可靠性的異常狀態；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
しびれ	麻痺	status	provisional	無法行動的異常狀態；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ねむり	睡眠	status	provisional	無法行動的異常狀態；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
せんとうふのう	戰鬥不能	status	provisional	角色失去戰鬥能力的狀態；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
エレメンタルたいせい	元素抗性	battle	provisional	對地水火風屬性攻擊的承受能力；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
こんらん	混亂	status	provisional	影響行動判斷的異常狀態；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
リフレクト	反射	status	provisional	反射攻擊或效果的狀態；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
けっかい	屏障	battle	provisional	阻擋攻擊或效果的防護；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
しりょう	死靈	status	provisional	倒數後造成戰鬥不能的附身效果；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
もう毒	劇毒	status	provisional	比中毒造成更高持續傷害；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
エレメンタルパワー	元素力量	battle	provisional	地水火風元素的攻擊能力值；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ヴィーナス	維納斯	element	provisional	地元素系統專名；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
リカバリー	恢復	battle	provisional	精靈在召喚後回到可用狀態的週期；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
マーズ	瑪爾斯	element	provisional	火元素系統專名；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
はんげき	反擊	battle	provisional	受到攻擊時回擊的戰鬥效果；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ソル	索爾	summon	provisional	召喚描述中的 Sol 專名；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ヴィーナス灯台	維納斯燈塔	location	provisional	序章與地元素燈塔專名；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
アレクス	亞歷克斯	character	provisional	依日文名稱音譯；待全篇專名統一審核；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
スクレータ	斯庫雷塔	character	provisional	依日文名稱音譯；待全篇專名統一審核；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
エレメンタルの灯台	元素燈塔	world	provisional	四座元素燈塔的總稱；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
サテュロス	薩帝羅斯	character	provisional	依日文名稱音譯；已於本作（第一部）原文核實出現；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
錬金じゅつ	煉金術	world	provisional	系列世界觀核心概念；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ヨデム	尤迪姆	character	provisional	依日文名稱音譯；已於本作（第一部）原文核實出現；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ラリベロ	拉利貝洛	location	provisional	維納斯燈塔附近城鎮；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
トレビ	托雷比	location	provisional	城邦與戰士所屬地；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
出島	半島	location	provisional	維納斯燈塔西側會合地形；待地圖畫面確認；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
メナーディ	梅娜蒂	character	provisional	依日文名稱音譯；已於本作（第一部）原文核實出現；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
オーブ	寶珠	item	provisional	驅動序章船隻的水晶球；待正式道具名稱統一審核；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
マーキュリー灯台	墨丘利燈塔	location	provisional	水元素燈塔；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ゴンドワナ大陸	岡瓦納大陸	location	provisional	維納斯燈塔所在大陸；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
エナジスト	元素使	world	provisional	能使用精神力者的系列身分稱呼；待全篇職業與世界觀術語統一審核；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ジュピター灯台	朱庇特燈塔	location	provisional	風元素燈塔；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
リード	讀心術	psynergy	provisional	讀取他人心聲的精神力；待技能選單正式名稱統一審核；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
チャンパ	占婆	location	provisional	海盜帕亞亞姆的故鄉；採歷史地名常用漢字；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
くろまじゅつ	黑魔法	world	provisional	瑪德拉居民傳聞中岡瓦納的神秘力量；待基朋波劇情統一審核；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ガラハド	加拉哈德	character	provisional	托雷比競技場戰士（在《失落的時代》中為尋找本作主角並傳遞警告的角色）；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
サトレージ	薩特拉吉	character	provisional	托雷比競技場戰士；依英語版 Satrage 音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
アザート	阿札特	character	provisional	托雷比競技場戰士；依英語版 Azart 音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ナヴァンバ	納凡巴	character	provisional	托雷比競技場戰士；依英語版 Navampa 音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
コロッセオ	競技場	location	provisional	托雷比舉行戰士競技大會的競技場；按劇情功能翻譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
スピン	旋風術	psynergy	provisional	以風力旋轉或吹動目標的精神力；待能力選單與艾爾斯岩機關 QA；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
イマジン	透視術	psynergy	provisional	在艾爾斯岩習得、能看破隱藏事物的精神力；待能力選單與演出 QA；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
アンガラ大陸	安加拉大陸	location	provisional	海迪亞村與阿爾法山所在的大陸；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
アルファ山	阿爾法山	location	provisional	海迪亞村旁、與元素使起源密切相關的山；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ハイディア村	海迪亞村	location	provisional	阿爾法山腳、本作主角出生的村落；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
エナジーストーン	精神力之石	world	provisional	會釋放精神能量並影響周邊生物的神奇石頭；待世界觀與物件名稱統一審核；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
エナジーロック	精神力岩	world	provisional	調查後可恢復全隊 EP 的特殊岩石；待艾爾斯岩物件與運行時 QA；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
レムリア	雷姆利亞	location	provisional	位於東海中央、保存古代煉金術文明的神祕島嶼；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
バビ	巴比	character	provisional	托雷比統治者、曾由雷姆利亞帶走精神力船隻的人；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ヘスペリア	赫斯佩里亞	location	provisional	位於大西海的西方大陸；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
オババ	婆婆大人	character	provisional	帕亞亞姆的祖母、安科爾文明最後的鍛造技術傳承者；按村民尊稱翻譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ハイドロ	海德羅	character	provisional	雷姆利亞國王，主張復甦鍊金術以阻止世界縮小；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ルンパ	倫帕	character	provisional	漂流至雷姆利亞的傳奇盜賊，也是倫帕村建立者；依既有譯名慣例；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ドンパ	東帕	character	provisional	倫帕之子與多東帕之父；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ドドンパ	多東帕	character	provisional	倫帕之孫、目前統治倫帕村的盜賊；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
シャーマンのツエ	薩滿之杖	item	provisional	納瓦霍交給耶格羅斯、用來交換重力之玉並證明勇者資格的手杖；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ハモ	哈莫	character	provisional	繼承阿尼莫斯之力的基亞那領袖，也是伊萬的姊姊；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ハメット	哈梅特	character	provisional	撫養伊萬並在卡萊立足的安加拉商人；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
カレイ	卡萊	location	provisional	哈梅特在安加拉大陸統治的城鎮；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ジュピタースター	朱庇特之星	item	provisional	封存風元素力量、用於點燃朱庇特燈塔的元素之星；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
マーズスター	瑪爾斯之星	item	provisional	封存火元素力量、用於點燃瑪爾斯燈塔的元素之星；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
チルド	冰凍術	psynergy	provisional	皮卡德用於凍結水面的水元素精神力；按技能效果翻譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ギョルギス	喬爾吉斯	character	provisional	在拉利貝洛收養並撫養西芭的居民；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
エレメンタルスター	元素之星	world	provisional	封存四元素力量、用於點燃元素燈塔的關鍵寶石；按日文語義翻譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ワイズマン	賢者	character	provisional	守護海迪亞與元素燈塔、考驗主角一行的超然存在；沿用系列語義譯名；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
モルガン	摩根	character	provisional	托雷比競技場第一戰士；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
デッカ	德卡	character	provisional	托雷比競技場第五戰士；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
コウラン	香蘭	character	provisional	受本作主角幫助、為尋找恩人而旅行的烏魯木齊少女；採中文姓名形式；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ウルムチ	烏魯木齊	location	provisional	香蘭的故鄉；依現實地名通行繁體譯名；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
クープアップ	庫普阿普	location	provisional	盜賊事件所在村落；依日文名稱音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ロビン	羅賓	character	provisional	本作（第一部）地元素使主角；依既有劇情翻譯統一；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ジェラルド	傑拉德	character	provisional	本作（第一部）火元素使夥伴；依既有劇情翻譯統一；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
イワン	伊萬	character	provisional	本作（第一部）風元素使夥伴；依既有劇情翻譯統一；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
メアリィ	米雅莉	character	provisional	本作（第一部）水元素使夥伴；依系列英語名 Mia 音譯；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ガルシア	加西亞	character	provisional	《失落的時代》地元素使主角，本作（第一部）中為維納斯燈塔序章可操作角色；依既有劇情翻譯統一；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ジャスミン	潔絲敏	character	provisional	《失落的時代》火元素使夥伴，本作（第一部）中為維納斯燈塔序章可操作角色；依既有劇情翻譯統一；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
シバ	西芭	character	provisional	《失落的時代》風元素使夥伴，本作（第一部）中為維納斯燈塔序章可操作角色；依既有劇情翻譯統一；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
長剣	長劍	item	provisional	武器分類；用於裝備說明；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
かるめの剣	輕劍	item	provisional	武器分類；涵蓋短劍、刺劍與忍者刀等；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
アックス	斧	item	provisional	武器分類；用於裝備說明；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
メイス	錘矛	item	provisional	武器分類；避免與一般鐵鎚混用；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
つえ	杖	item	provisional	武器分類；用於裝備說明；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
よろい	鎧甲	item	provisional	身體防具分類；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ふく	服裝	item	provisional	身體防具分類；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ローブ	長袍	item	provisional	身體防具分類；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
たて	盾	item	provisional	手臂防具分類；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
グラブ	手套	item	provisional	手臂防具分類；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
うでわ	手環	item	provisional	手臂防具分類；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ヘルム	頭盔	item	provisional	頭部防具分類；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ぼうし	帽子	item	provisional	頭部防具分類；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
サークル	頭環	item	provisional	頭部防具分類；與一般環形首飾區分；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ドリー	德利	character	provisional	第一部村莊角色（伊薩克的父親形象／養父）；GS2 語料庫本身有「德利」（3）／「多利」（1）不一致，取多數譯名統一，待回頭修正 GS2 少數變體
キニー	基妮	character	provisional	第一部村莊角色（照顧主角的長輩）；GS2 語料庫本身有「基妮」（5）／「琪妮」（3）不一致，取多數譯名統一，待回頭修正 GS2 少數變體
トレト	特雷特	character	provisional	科利馬森林守護神木精靈；多數譯名 34:1:1（另有少數變體「特雷托」「特列特」已統一）
レント	連特	character	provisional	科利馬森林另一位守護精靈，與トレト（特雷特）並提；已修正 1 處誤用「雷特」的不一致
ビリビノ	比里比諾	place	provisional	科利馬森林附近的城鎮；多數譯名 14 對 6（少數變體「比里賓」）對 1（「比利賓」），已統一
シーアン	西安	place	provisional	絲路城鎮；多數譯名 21 對 12（少數變體「希安」已統一）
アルティン	阿爾廷	place	provisional	水患村莊；多數譯名 24 對 7（少數變體「阿爾丁」已統一）
チン	陳	character	provisional	西安武術道場師父；已確認一致
シオン	希翁	character	provisional	競技場參賽者角色；多數譯名 14 對 3（少數變體「希恩」已統一）
ラヤーナ	拉雅娜	character	provisional	卡萊城共同統治者、哈梅特之妻；已跨批次確認一致
ウラヌス	烏拉諾斯	character	provisional	競技場參賽者角色；跨批次確認一致
トトカルチョ	彩池投注	system	provisional	競技場賭盤機制；多數譯名 9 對 5（少數變體「托托卡爾丘」音譯已統一為意譯）
